iter	Logloss
0	0.6744341122
1	0.6559470267
2	0.6397406062
3	0.6247159469
4	0.6098651529
5	0.5960171766
6	0.5831957095
7	0.5721875416
8	0.5627763982
9	0.5524340807
10	0.5425985291
11	0.5342253965
12	0.5257763956
13	0.5181409789
14	0.5109337258
15	0.5050098343
16	0.4985883773
17	0.4930649058
18	0.4885959873
19	0.4839145311
20	0.4784682142
21	0.473242322
22	0.4687097063
23	0.4641938791
24	0.4603134589
25	0.4574960888
26	0.4546041445
27	0.4517406497
28	0.4489889737
29	0.4456798737
30	0.4430359423
31	0.4403559452
32	0.438077617
33	0.4355309081
34	0.4333029198
35	0.4310244649
36	0.4286907709
37	0.4268353625
38	0.4254122929
39	0.4235851927
40	0.4220702157
41	0.4206810554
42	0.4192766911
43	0.4177731337
44	0.4165588385
45	0.4153944874
46	0.4144146268
47	0.4127593971
48	0.4114705355
49	0.4107694436
50	0.4094065185
51	0.4090145696
52	0.4076607627
53	0.4065369831
54	0.4059795715
55	0.4049910327
56	0.4038032406
57	0.4030022155
58	0.4022439183
59	0.4009743631
60	0.4000952171
61	0.3992603904
62	0.3984219491
63	0.3975237843
64	0.3968428169
65	0.396352938
66	0.3954481063
67	0.3946708872
68	0.3939235189
69	0.3934078973
70	0.3925509147
71	0.3922660731
72	0.3919370349
73	0.3912815117
74	0.3907813675
75	0.3899760501
76	0.3897029886
77	0.3892156737
78	0.3887898191
79	0.3882764261
80	0.3878172144
81	0.3875009126
82	0.3871020763
83	0.3868688795
84	0.3862859167
85	0.3858661373
86	0.3851723941
87	0.3847740771
88	0.3842256642
89	0.3836968636
90	0.3835825956
91	0.3830453665
92	0.3825452273
93	0.3822274211
94	0.3819512696
95	0.3812646719
96	0.3810827398
97	0.3805198975
98	0.3802017107
99	0.3800510103
