iter	Passed	Remaining
0	57	5718
1	58	2882
2	59	1910
3	60	1440
4	60	1158
5	61	971
6	62	827
7	62	719
8	62	634
9	63	571
10	63	517
11	64	470
12	64	431
13	64	397
14	64	367
15	65	344
16	66	325
17	67	307
18	67	288
19	67	271
20	68	259
21	69	245
22	69	232
23	69	220
24	69	209
25	70	199
26	70	189
27	70	181
28	70	173
29	70	165
30	71	158
31	72	153
32	72	146
33	73	142
34	73	136
35	74	132
36	74	126
37	74	121
38	74	117
39	75	112
40	75	108
41	75	104
42	75	100
43	75	96
44	76	93
45	76	89
46	76	86
47	76	83
48	77	80
49	77	77
50	78	75
51	78	72
52	78	69
53	78	67
54	79	65
55	79	62
56	80	60
57	80	58
58	81	56
59	81	54
60	82	52
61	82	50
62	82	48
63	82	46
64	82	44
65	83	42
66	83	41
67	84	39
68	84	37
69	85	36
70	85	34
71	85	33
72	85	31
73	86	30
74	86	28
75	86	27
76	86	25
77	87	24
78	87	23
79	87	21
80	87	20
81	87	19
82	88	18
83	88	16
84	88	15
85	88	14
86	89	13
87	89	12
88	89	11
89	89	9
90	89	8
91	90	7
92	90	6
93	90	5
94	90	4
95	90	3
96	91	2
97	91	1
98	91	0
99	91	0
